userid,probability
55597,0.0328824615032
55598,0.0267410115872
55599,0.0570041263429
55600,0.089361543211
55601,0.149759982057
55602,0.275212954426
55603,0.0994184111177
55604,0.116169786805
55605,0.103004792586
55606,0.153892252084
55607,0.0123419390403
55608,0.18884429507
55609,0.0931682525916
55610,0.0690654290524
55611,0.369386456015
55612,0.0415238331711
55613,0.0952817698756
55614,0.170239541642
55615,0.0726602235993
55616,0.117242352032
55617,0.0631239107652
55618,0.0676499326869
55619,0.155767498843
55620,0.0135127797957
55621,0.11142288889
55622,0.166271015353
55623,0.41465480611
55624,0.175449445895
55625,0.0568965486865
55626,0.182269817516
55627,0.370203793923
55628,0.0890185810322
55629,0.158607035379
55630,0.121120247417
55631,0.0304066362033
55632,0.0478547385472
55633,0.102244129354
55634,0.211758475818
55635,0.114435218008
55636,0.149009837378
55637,0.169756732653
55638,0.163332668364
55639,0.0796846051478
55640,0.104243477319
55641,0.386377769917
55642,0.163668302422
55643,0.0973443049721
55644,0.136462849833
55645,0.162291371065
55646,0.118898511215
55647,0.234004860179
55648,0.0720551839093
55649,0.143320499534
55650,0.182726044547
55651,0.123541471809
55652,0.155271676011
55653,0.112645954398
55654,0.136723882665
55655,0.0747534501026
55656,0.137395943998
55657,0.11226100616
55658,0.0737447001636
55659,0.182545598968
55660,0.209023578783
55661,0.0664999316844
55662,0.173334050279
55663,0.0440370757785
55664,0.100904038215
55665,0.137399534164
55666,0.126648606567
55667,0.238043014416
55668,0.0708893937717
55669,0.232389848538
55670,0.200550533182
55671,0.0642950761933
55672,0.158965564505
55673,0.0654606109958
55674,0.0637687804542
55675,0.113198899058
55676,0.130852938875
55677,0.178333180593
55678,0.0973848880211
55679,0.0625440097501
55680,0.0794699940868
55681,0.00787789205947
55682,0.128210386021
55683,0.11478760809
55684,0.127472092581
55685,0.19829972748
55686,0.184820779198
55687,0.168450802804
55688,0.305259012817
55689,0.0768668416982
55690,0.0872520052805
55691,0.0526373055263
55692,0.172489589129
55693,0.052532091521
55694,0.22922264619
55695,0.0671270028171
55696,0.0258639623906
55697,0.199500670762
55698,0.159226036153
55699,0.0523730094707
55700,0.194575295787
55701,0.111161800408
55702,0.0154522883743
55703,0.395411768075
55704,0.0638391110082
55705,0.163957309605
55706,0.245570010363
55707,0.060010650859
55708,0.119946611866
55709,0.268216011812
55710,0.128611046541
55711,0.124649239637
55712,0.0958941509578
55713,0.114549672362
55714,0.0621295821101
55715,0.177581543186
55716,0.17712496445
55717,0.0844472166356
55718,0.0378442362676
55719,0.145014630988
55720,0.0413513109118
55721,0.0756232384876
55722,0.0947741631443
55723,0.134141436467
55724,0.103457663382
55725,0.155810853844
55726,0.314604993166
55727,0.201053202022
55728,0.180803121212
55729,0.100542834551
55730,0.0784511135269
55731,0.0891461449246
55732,0.14469452093
55733,0.0918124008929
55734,0.140805427924
55735,0.0821444764568
55736,0.175711651562
55737,0.130383585997
55738,0.173598126871
55739,0.0612915951708
55740,0.0999532370704
55741,0.147376969766
55742,0.0726028725449
55743,0.106116616369
55744,0.138239602871
55745,0.170693408007
55746,0.134120767518
55747,0.118891385153
55748,0.145988251397
55749,0.0686243352833
55750,0.0722598418545
55751,0.0632447141419
55752,0.23785597465
55753,0.0836339180999
55754,0.100439341626
55755,0.124841714709
55756,0.0949127692293
55757,0.140358073571
55758,0.0502737600156
55759,0.0565819887676
55760,0.180344069326
55761,0.0137449690604
55762,0.110019014499
55763,0.0790986275367
55764,0.0909183812586
55765,0.567101165323
55766,0.0364113388687
55767,0.227754150813
55768,0.0630650560211
55769,0.0936450731894
55770,0.181981507875
55771,0.135884085597
55772,0.0933059615422
55773,0.0638873896289
55774,0.202124476951
55775,0.287141669807
55776,0.0726894733059
55777,0.0888207759976
55778,0.189904012245
55779,0.292980907448
55780,0.0704154959976
55781,0.0521747112979
55782,0.0627524273236
55783,0.042482803793
55784,0.165735702685
55785,0.151861759324
55786,0.0669317497637
55787,0.0443499724062
55788,0.131490953264
55789,0.149249819025
55790,0.0279891017309
55791,0.118222164963
55792,0.179402037533
55793,0.0901449751852
55794,0.047717861507
55795,0.121276232805
55796,0.0661184235831
55797,0.142971541619
55798,0.151610251179
55799,0.123330840909
55800,0.158704402349
55801,0.0235134270929
55802,0.16171433896
55803,0.170372417158
55804,0.147646108293
55805,0.0849006811406
55806,0.150815983603
55807,0.0760442979031
55808,0.171665565221
55809,0.199829494952
55810,0.340024550533
55811,0.185094384738
55812,0.0856165058867
55813,0.128371965471
55814,0.108519585196
55815,0.235608454205
55816,0.17795228605
55817,0.221569785177
55818,0.148819824289
55819,0.18572702749
55820,0.0965540516365
55821,0.0872367130983
55822,0.242249274523
55823,0.0339016723633
55824,0.0944654961233
55825,0.0565576807428
55826,0.101522457168
55827,0.0468479534814
55828,0.242042649329
55829,0.115740216027
55830,0.041975444489
55831,0.111111429494
55832,0.0544829088352
55833,0.136757888285
55834,0.125325832522
55835,0.190747074772
55836,0.160059314691
55837,0.0517365770963
55838,0.0378716818397
55839,0.13261935953
55840,0.0553040897562
55841,0.0917557656461
55842,0.106342268137
55843,0.026627385634
55844,0.0890977420346
55845,0.129355988511
55846,0.161945727841
55847,0.102018169528
55848,0.136013178655
55849,0.10329424762
55850,0.0783706518393
55851,0.0879889730786
55852,0.140342307952
55853,0.089982405291
55854,0.140879097149
55855,1.2550277483e-09
55856,0.149902204761
55857,0.041554882854
55858,0.334128911419
55859,0.181729549537
55860,0.114582784214
55861,0.0855720246215
55862,0.0811373862827
55863,0.159709377167
55864,0.174140017776
55865,0.125248081704
55866,0.135380511277
55867,0.0838784660716
55868,0.0540950824861
55869,0.0348177499412
55870,0.0932749821989
55871,0.121268437222
55872,0.108197068236
55873,0.303461435431
55874,0.0645272070061
55875,0.20161446129
55876,0.18083237867
55877,0.126043788956
55878,0.110749671307
55879,0.129199691196
55880,0.112898936189
55881,0.235343244242
55882,0.232187246934
55883,0.178017546733
55884,0.160278550153
55885,0.155930192853
55886,0.154704214578
55887,0.0781171106245
55888,0.198655114034
55889,0.073967045832
55890,0.122722538991
55891,0.109088417221
55892,0.045519555461
